pais,fecha,valor
argentina,2013-01-01,
argentina,2013-02-01,
argentina,2013-03-01,
argentina,2013-04-01,
argentina,2013-05-01,
argentina,2013-06-01,
argentina,2013-07-01,
argentina,2013-08-01,
argentina,2013-09-01,
argentina,2013-10-01,
argentina,2013-11-01,
argentina,2013-12-01,
argentina,2014-01-01,
argentina,2014-02-01,
argentina,2014-03-01,
argentina,2014-04-01,
argentina,2014-05-01,
argentina,2014-06-01,
argentina,2014-07-01,
argentina,2014-08-01,
argentina,2014-09-01,
argentina,2014-10-01,
argentina,2014-11-01,
argentina,2014-12-01,
argentina,2015-01-01,
argentina,2015-02-01,
argentina,2015-03-01,
argentina,2015-04-01,
argentina,2015-05-01,
argentina,2015-06-01,
argentina,2015-07-01,
argentina,2015-08-01,
argentina,2015-09-01,
argentina,2015-10-01,
argentina,2015-11-01,
argentina,2015-12-01,
argentina,2016-01-01,
argentina,2016-02-01,
argentina,2016-03-01,
argentina,2016-04-01,
argentina,2016-05-01,
argentina,2016-06-01,
argentina,2016-07-01,
argentina,2016-08-01,
argentina,2016-09-01,
argentina,2016-10-01,
argentina,2016-11-01,
argentina,2016-12-01,
argentina,2017-01-01,
argentina,2017-02-01,
argentina,2017-03-01,
argentina,2017-04-01,
argentina,2017-05-01,
argentina,2017-06-01,
argentina,2017-07-01,
argentina,2017-08-01,
argentina,2017-09-01,
argentina,2017-10-01,
argentina,2017-11-01,
argentina,2017-12-01,
argentina,2018-01-01,
argentina,2018-02-01,
argentina,2018-03-01,
argentina,2018-04-01,
argentina,2018-05-01,
argentina,2018-06-01,
argentina,2018-07-01,
argentina,2018-08-01,
argentina,2018-09-01,
argentina,2018-10-01,
argentina,2018-11-01,
argentina,2018-12-01,
argentina,2019-01-01,36.4
argentina,2019-02-01,38.3
argentina,2019-03-01,42.3
argentina,2019-04-01,43.2
argentina,2019-05-01,43.8
argentina,2019-06-01,41.5
argentina,2019-07-01,42.9
argentina,2019-08-01,57.0
argentina,2019-09-01,55.5
argentina,2019-10-01,58.5
argentina,2019-11-01,57.75
argentina,2019-12-01,58.0
argentina,2020-01-01,58.0
argentina,2020-02-01,58.31
argentina,2020-03-01,59.57
argentina,2020-04-01,62.25
argentina,2020-05-01,64.71
argentina,2020-06-01,66.96
argentina,2020-07-01,70.06
argentina,2020-08-01,72.29
argentina,2020-09-01,74.14
argentina,2020-10-01,76.74
argentina,2020-11-01,79.12
argentina,2020-12-01,81.75
argentina,2021-01-01,84.94
argentina,2021-02-01,87.53
argentina,2021-03-01,90.09
argentina,2021-04-01,92.2
argentina,2021-05-01,93.17
argentina,2021-06-01,94.24
argentina,2021-07-01,95.31
argentina,2021-08-01,96.29
argentina,2021-09-01,97.44
argentina,2021-10-01,98.53
argentina,2021-11-01,99.43
argentina,2021-12-01,100.95
argentina,2022-01-01,104.25
argentina,2022-02-01,106.5
argentina,2022-03-01,110.0
argentina,2022-04-01,114.25
argentina,2022-05-01,119.25
argentina,2022-06-01,124.0
argentina,2022-07-01,129.25
argentina,2022-08-01,137.0
argentina,2022-09-01,145.25
argentina,2022-10-01,154.5
argentina,2022-11-01,166.25
argentina,2022-12-01,175.25
argentina,2023-01-01,186.87
argentina,2023-02-01,197.15
argentina,2023-03-01,208.99
argentina,2023-04-01,222.58
argentina,2023-05-01,239.5
argentina,2023-06-01,256.72
argentina,2023-07-01,275.26
argentina,2023-08-01,349.98
argentina,2023-09-01,350.02
argentina,2023-10-01,350.02
argentina,2023-11-01,360.04
argentina,2023-12-01,788.25
argentina,2024-01-01,805.5
argentina,2024-02-01,821.0
argentina,2024-03-01,836.0
argentina,2024-04-01,856.0
argentina,2024-05-01,864.79
argentina,2024-06-01,882.38
argentina,2024-07-01,901.73
argentina,2024-08-01,921.1935484
argentina,2024-09-01,941.2666667
argentina,2024-10-01,960.9516129
argentina,2024-11-01,980.7
argentina,2024-12-01,1001.516129
argentina,2025-01-01,1022.322581
argentina,2025-02-01,1039.217857
argentina,2025-03-01,1048.379032
argentina,2025-04-01,1091.9
argentina,2025-05-01,1116.612903
argentina,2025-06-01,1146.333333
argentina,2025-07-01,1234.032258
argentina,2025-08-01,1290.16129
argentina,2025-09-01,1372.5
argentina,2025-10-01,1413.387097
argentina,2025-11-01,1403.666667
argentina,2025-12-01,1421.129032
argentina,2026-01-01,1422.741936
argentina,2026-02-01,1377.142857
argentina,2026-03-01,1366.290323
colombia,2013-01-01,1770.01
colombia,2013-02-01,1791.48
colombia,2013-03-01,1809.89
colombia,2013-04-01,1829.96
colombia,2013-05-01,1850.12
colombia,2013-06-01,1909.5
colombia,2013-07-01,1900.59
colombia,2013-08-01,1903.66
colombia,2013-09-01,1919.4
colombia,2013-10-01,1885.91
colombia,2013-11-01,1922.14
colombia,2013-12-01,1934.08
colombia,2014-01-01,1960.41
colombia,2014-02-01,2040.51
colombia,2014-03-01,2022.19
colombia,2014-04-01,1939.27
colombia,2014-05-01,1915.46
colombia,2014-06-01,1888.1
colombia,2014-07-01,1858.4
colombia,2014-08-01,1899.07
colombia,2014-09-01,1971.34
colombia,2014-10-01,2047.03
colombia,2014-11-01,2127.25
colombia,2014-12-01,2344.23
colombia,2015-01-01,2397.69
colombia,2015-02-01,2420.38
colombia,2015-03-01,2586.58
colombia,2015-04-01,2495.36
colombia,2015-05-01,2439.09
colombia,2015-06-01,2554.94
colombia,2015-07-01,2731.9
colombia,2015-08-01,3023.29
colombia,2015-09-01,3073.12
colombia,2015-10-01,2937.85
colombia,2015-11-01,2996.67
colombia,2015-12-01,3244.51
colombia,2016-01-01,3284.03
colombia,2016-02-01,3357.5
colombia,2016-03-01,3145.26
colombia,2016-04-01,2998.71
colombia,2016-05-01,2988.38
colombia,2016-06-01,2991.68
colombia,2016-07-01,2963.99
colombia,2016-08-01,2963.82
colombia,2016-09-01,2921.15
colombia,2016-10-01,2932.61
colombia,2016-11-01,3106.4
colombia,2016-12-01,3009.53
colombia,2017-01-01,2944.65
colombia,2017-02-01,2881.68
colombia,2017-03-01,2943.49
colombia,2017-04-01,2873.55
colombia,2017-05-01,2924.0
colombia,2017-06-01,2958.36
colombia,2017-07-01,3038.76
colombia,2017-08-01,2972.62
colombia,2017-09-01,2918.49
colombia,2017-10-01,2955.06
colombia,2017-11-01,3013.17
colombia,2017-12-01,2991.42
colombia,2018-01-01,2867.68
colombia,2018-02-01,2860.0
colombia,2018-03-01,2852.46
colombia,2018-04-01,2765.96
colombia,2018-05-01,2862.95
colombia,2018-06-01,2893.22
colombia,2018-07-01,2885.55
colombia,2018-08-01,2959.57
colombia,2018-09-01,3037.8
colombia,2018-10-01,3080.48
colombia,2018-11-01,3198.13
